Row	oligodendrocytes	microglia	pyramidal_CA1	interneurons	pyramidal_SS	astrocytes_ependymal	endothelial_mural
0610007P14Rik	1	0	0	0	0	0	0
0610009L18Rik	0	0	0	0	0	1	0
0610010B08Rik_loc4	0	0	1	0	0	0	0
0610031J06Rik	0	1	0	0	0	0	0
1110008J03Rik	0	0	0	0	0	1	0
1110008L16Rik	0	0	0	0	0	0	1
1110008P14Rik	0	0	0	0	1	0	0
1110017D15Rik	0	0	0	0	0	1	0
1110020A21Rik	1	0	0	0	0	0	0
1110034G24Rik	0	0	0	0	0	0	1
1110054M08Rik	0	0	0	0	0	1	0
1110057K04Rik	1	0	0	0	0	0	0
1500004A13Rik	1	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	1
1500015A07Rik	0	0	1	0	0	0	0
1500015L24Rik	1	0	0	0	0	0	0
1700001O22Rik	0	0	0	0	0	1	0
1700001P01Rik	1	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	1	0
1700003M02Rik	0	0	0	0	0	1	0
1700007G11Rik	0	0	0	0	0	1	0
1700007K13Rik	0	0	0	0	0	1	0
1700007L15Rik	0	0	0	0	0	1	0
1700007P06Rik	0	0	0	0	1	0	0
1700009P17Rik	0	0	0	0	0	1	0
1700013F07Rik	0	0	0	0	0	1	0
1700013G23Rik	0	0	0	0	0	1	0
1700016K19Rik	0	0	0	0	0	1	0
1700017B05Rik	0	1	0	0	0	0	0
1700023F06Rik	0	0	0	1	0	0	0
1700028P14Rik	0	0	0	0	0	1	0
1700029J07Rik	0	0	0	0	0	1	0
1700047M11Rik	1	0	0	0	0	0	0
1700088E04Rik	0	0	0	0	0	1	0
1700094D03Rik	0	0	0	0	0	1	0
1700120C14Rik	0	0	0	0	0	0	1
1810010H24Rik	0	0	0	0	0	1	0
1810011H11Rik	0	1	0	0	0	0	0
1810020O05Rik	0	0	0	0	0	1	0
1810037I17Rik	1	0	0	0	0	0	0
1810058I24Rik	1	0	0	0	0	0	0
2210408F21Rik	0	0	0	0	1	0	0
2310010J17Rik	0	0	0	0	0	1	0
2310030G06Rik	0	0	0	1	0	0	0
2310042E22Rik	0	0	0	1	0	0	0
2310069G16Rik	1	0	0	0	0	0	0
2610002M06Rik	0	0	0	1	0	0	0
2610017I09Rik	0	0	0	0	0	1	0
2610018G03Rik	0	0	1	0	0	0	0
2610100L16Rik	0	0	0	0	0	1	0
2610203C20Rik	0	0	0	1	0	0	0
2610301B20Rik	0	0	0	0	0	1	0
2610316D01Rik	1	0	0	0	0	0	0
2610507I01Rik	0	0	0	0	0	1	0
2700046A07Rik	1	0	0	0	0	0	0
2700070H01Rik	1	0	0	0	0	0	0
2810047C21Rik1	0	0	0	0	0	1	0
2810403D21Rik	0	0	0	0	0	1	0
2810408I11Rik	0	0	0	0	1	0	0
2810410L24Rik	1	0	0	0	0	0	0
2810417H13Rik	0	0	0	0	0	0	1
2810429I04Rik	1	0	0	0	0	0	0
2810433D01Rik	0	0	0	0	0	1	0
2810468N07Rik	1	0	0	0	0	0	0
2900052N01Rik	0	0	0	0	0	1	0
2900056M20Rik	0	0	0	1	0	0	0
3110007F17Rik	1	0	0	0	0	0	0
3110021N24Rik	0	0	0	0	0	1	0
3110045C21Rik	1	0	0	0	0	0	0
3110047P20Rik	0	0	0	0	1	0	0
3110079O15Rik	0	0	0	0	1	0	0
4430402I18Rik	0	0	0	0	0	1	0
4831440E17Rik	0	0	1	0	0	0	0
4922501L14Rik	0	0	0	0	0	1	0
4930402H24Rik	1	0	0	0	0	0	0
4930412C18Rik	0	0	0	0	1	0	0
4930429B21Rik	0	0	0	0	1	0	0
4930451C15Rik	0	0	0	0	0	1	0
4930452G13Rik	1	0	0	0	0	0	0
4930506C21Rik	1	0	0	0	0	0	0
4930529M08Rik	0	0	0	0	0	1	0
4930563E22Rik	0	0	0	1	0	0	0
4930594C11Rik	0	0	0	0	0	0	1
4931440F15Rik	0	0	1	0	0	0	0
